index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
165,cleveland-nominal,8,8,303,5,0,13,40711,0.7765484722927608,0.07782363891601562,1.0760533660221354,0.5855263157894737
166,CostaMadre1,38,1,296,2,0,38,1446,0.7171082173327347,0.056554555892944336,0.3612923401719977,0.8851351351351351
167,Heart_disease_prediction_20,14,1,296,2,0,137,44149,0.8908991228070176,0.05571794509887695,0.4152621065857946,0.8175675675675675
168,breast-cancer,10,10,286,2,9,85,13,0.6692597831211693,0.05487799644470215,0.5780819815720295,0.7342657342657343
169,breastTumor,10,9,286,2,9,120,844,0.6025100401606426,0.044817209243774414,0.675737003450627,0.5804195804195804
170,analcatdata_broadwaymult,8,5,285,7,27,21,452,0.7893424479073694,0.07991695404052734,1.3339524467482224,0.5034965034965035
171,mu284,11,1,284,2,0,142,880,0.9979235880398671,0.04285860061645508,0.06109955929888205,0.9788732394366197
172,DiabeticMellitus,98,1,281,2,2,99,41430,0.9670072371221796,0.12286853790283203,0.23545903851288344,0.900709219858156
173,breast-cancer-dropped-missing-attributes-values,10,10,277,2,0,81,23499,0.6438389788905253,0.055969953536987305,0.6773294633817223,0.7122302158273381
174,jEdit_4.0_4.2,9,1,274,2,0,134,1073,0.8416738567730803,0.1301271915435791,0.5141114531234451,0.7445255474452555
175,heart-statlog,14,1,270,2,0,120,53,0.8882141250562303,0.12513208389282227,0.4464357713685819,0.8074074074074075
176,SPECT,23,23,267,2,0,55,336,0.911214953271028,0.08614468574523926,0.33108937656923904,0.8582089552238806
177,Touch2,11,1,265,8,0,27,42544,0.9890083847618851,0.08296895027160645,0.3811503361962662,0.924812030075188
178,analcatdata_lawsuit,5,2,264,2,0,19,450,0.9954921111945906,0.08173894882202148,0.07063725692707769,0.9621212121212122
179,rmftsa_ctoarrivals,3,2,264,2,0,101,811,0.9870731707317073,0.12518763542175293,0.18273689164644483,0.9242424242424242
180,MegaWatt1,38,1,253,2,0,27,1442,0.6959544879898861,0.12010836601257324,0.3105688331076714,0.8818897637795275
181,bodyfat,15,1,252,2,0,124,778,0.9954637096774194,0.03590512275695801,0.08927770306299032,0.9603174603174603
182,qualitative-bankruptcy,7,7,250,2,0,107,1495,1.0,0.048067569732666016,0.00788069315069879,1.0
183,prnn_synth,3,1,250,2,0,125,464,0.9454545454545454,0.0366978645324707,0.3118273743051104,0.824
184,conference_attendance,7,7,246,2,0,31,41538,0.6521612149532711,0.04540586471557617,0.3868789061661658,0.8699186991869918
185,chatfield_4,13,1,235,2,0,93,820,0.9622526636225266,0.10732126235961914,0.2540106693646768,0.923728813559322
186,chscase_whale,9,1,228,2,20,111,939,0.9949999999999999,0.04172945022583008,0.07317923829496546,0.9824561403508771
187,lungcancer_GSE31210,24,3,226,2,0,35,1412,0.8228070175438597,0.04931044578552246,0.34089203270366497,0.8849557522123894
188,chscase_geyser1,3,1,222,2,0,88,895,0.9083612040133779,0.02559638023376465,0.35992131590201343,0.8738738738738738
189,thyroid-new,6,1,215,3,0,30,40682,0.9996573811096533,0.030722856521606445,0.028320273870676788,0.9907407407407407
190,glass,10,1,214,6,0,9,41,0.8930823620800387,0.11052155494689941,1.045026969323457,0.6542056074766355
191,prnn_fglass,10,1,214,2,0,76,996,0.8174427198817442,0.03478527069091797,0.5985685207273933,0.7009345794392523
192,seeds,8,1,210,3,0,70,1499,0.9978463620972283,0.038440704345703125,0.14163404790431827,0.9428571428571428
193,biomed,9,2,209,2,15,75,481,0.9595959595959596,0.04882526397705078,0.2285975950795026,0.8761904761904762
194,cpu,8,2,209,2,0,53,796,1.0,0.05046415328979492,0.03919508699424612,0.9809523809523809
195,machine_cpu,7,1,209,2,0,56,733,0.9891107078039927,0.044611454010009766,0.132693257699776,0.9428571428571428
196,sonar,61,1,208,2,0,97,40,0.9487940630797773,0.10534238815307617,0.328533999127103,0.8557692307692307
197,regime_alimentaire,20,17,202,2,17,41,42172,0.8785960874568469,0.07483601570129395,0.3585892310233482,0.8118811881188119
198,heart-long-beach,14,1,200,5,0,10,1512,0.6574891324891325,0.09176969528198242,1.4845603454113006,0.32
199,pwLinear,11,1,200,2,0,97,721,0.923296613627091,0.0441436767578125,0.5364929974766346,0.81
200,prnn_crabs,8,2,200,2,0,100,446,1.0,0.03374934196472168,0.004521186581314396,1.0
201,parkinsons,23,1,195,2,0,48,1488,0.9347939488784559,0.0429081916809082,0.29688671345725104,0.8775510204081632
202,pharynx,11,10,195,2,2,74,738,0.903448275862069,0.0662686824798584,0.3821360495948822,0.8163265306122449
203,KnuggetChase3,40,1,194,2,0,36,1448,0.7375,0.056349754333496094,0.43463433929479,0.8350515463917526
204,wisconsin,33,1,194,2,0,90,753,0.542517006802721,0.04759812355041504,0.7264056807940769,0.4845360824742268
205,lowbwt,10,8,189,2,0,90,941,0.8811742777260019,0.09236764907836914,0.4103036222728214,0.8105263157894737
206,triazines,61,1,186,2,0,77,788,0.767464114832536,0.11769390106201172,0.6494965224116239,0.7419354838709677
207,chscase_funds,3,1,185,2,0,87,801,0.6167133520074697,0.028161048889160156,0.6385093872805917,0.6559139784946236
208,planning-relax,13,1,182,2,0,52,1490,0.5122448979591836,0.03472161293029785,0.552559209721429,0.7692307692307693
209,Smartphone-Based_Recognition_of_Human_Activities,68,2,180,6,0,30,4153,0.9970563951224708,0.06382918357849121,0.14547868150726168,0.9111111111111111
210,backache,32,27,180,2,0,25,463,0.8351648351648351,0.09194207191467285,0.37627854173382125,0.8555555555555555
211,wine,14,1,178,3,0,48,187,1.0,0.035752058029174805,0.03850411365217522,1.0
212,servo,5,5,167,2,0,38,747,0.9781376518218624,0.08568954467773438,0.16708566954643866,0.9285714285714286
213,robot-failures-lp5,91,1,164,5,0,21,1520,0.8642083087645421,0.12764787673950195,1.0696772220658093,0.5975609756097561
214,analcatdata_wildcat,6,3,163,2,0,47,748,0.8171763175016264,0.07196235656738281,0.6155275284133783,0.7317073170731707
215,mc2,40,1,161,2,0,52,1054,0.6877811094452774,0.05352306365966797,0.5874282648143025,0.7160493827160493
216,corral,7,7,160,2,0,70,40669,1.0,0.04018735885620117,0.0786040525737917,0.975
217,hayes-roth,5,1,160,3,0,31,329,0.9636613557927217,0.02704906463623047,0.3830989719455829,0.7625
218,auto_price,16,2,159,2,0,54,745,1.0,0.04400634765625,0.041986809784646084,0.9875
219,autoPrice,16,1,159,2,0,54,756,1.0,0.03595089912414551,0.03858511350677816,1.0
220,analcatdata_gsssexsurvey,10,6,159,2,6,35,852,0.58984375,0.04708361625671387,0.49833908062428234,0.8
221,TuningSVMs,81,1,156,2,0,54,41976,0.6736111111111112,0.07089877128601074,0.7304142727606142,0.6282051282051282
222,grub-damage,9,7,155,4,0,19,338,0.5985364558281225,0.05372142791748047,1.5019839137362747,0.3717948717948718
223,teachingAssistant,7,5,151,3,0,49,1115,0.7601069288114105,0.05776095390319824,0.9590573408886006,0.5394736842105263
224,tae,6,3,151,3,0,49,48,0.693879472016727,0.07708907127380371,1.0478584774230655,0.40789473684210525
225,iris,5,1,150,3,0,50,61,0.9968567901234567,0.028949260711669922,0.07791180161755619,0.9733333333333334
226,iris-example,5,1,150,3,0,50,42261,0.9968567901234567,0.04112887382507324,0.07791159419015457,0.9733333333333334
227,sleuth_case2002,7,5,147,2,0,69,902,0.6534798534798535,0.03872084617614746,0.6778820067442752,0.5945945945945946
228,kc1-top5,95,1,145,2,0,8,1045,0.943661971830986,0.10023021697998047,0.11239863723422375,0.958904109589041
229,kc1-binary,95,1,145,2,0,60,1066,0.8671274961597542,0.08076310157775879,0.45031385336466745,0.7808219178082192
230,newton_hema,4,2,140,2,0,70,784,0.7738486842105264,0.03162121772766113,0.6900785356801602,0.6857142857142857
231,veteran,8,5,137,2,0,43,719,0.8055555555555555,0.04187512397766113,0.6538402502951415,0.6521739130434783
232,analcatdata_boxing2,4,4,132,2,0,61,444,0.8341099720410066,0.04592323303222656,0.5243492639538917,0.803030303030303
233,analcatdata_seropositive,4,2,132,2,0,46,921,0.9970238095238095,0.03960251808166504,0.07403739172591348,0.9848484848484849
234,transplant,4,1,131,2,0,48,885,1.0,0.027175426483154297,0.021882460426544032,1.0
235,datatrieve,9,1,130,2,0,11,1075,0.8817204301075269,0.05392575263977051,0.159907277716467,0.9538461538461539
236,visualizing_livestock,3,2,130,5,0,26,685,0.49060549646432,0.08332109451293945,1.5742382494302896,0.23076923076923078
237,humandevel,2,1,130,2,0,65,924,0.9498106060606061,0.02955174446105957,0.2851727860155874,0.8307692307692308
238,mux6,7,7,128,2,0,64,40681,0.9724137931034483,0.0733182430267334,0.21785633171384688,0.90625
239,MindCave2,40,1,125,2,0,44,1450,0.7816326530612245,0.0452122688293457,0.7001464526568141,0.5555555555555556
240,fruitfly,5,3,125,2,0,49,714,0.5838477366255144,0.03258180618286133,0.7076680508870927,0.5714285714285714
241,KungChi3,40,1,123,2,0,16,1441,0.8574423480083857,0.05866599082946777,0.3219552129646012,0.8870967741935484
242,heart-switzerland,13,1,123,5,0,5,1513,0.5867783655108832,0.03280901908874512,1.3853292503664572,0.3709677419354839
